ID,rating
895537,4
899740,4
55688,4
63728,4
822012,4
781895,4
472806,4
398991,4
633564,4
927509,4
738784,4
945753,4
964568,4
42051,4
907417,4
127785,4
52983,4
126582,4
523698,4
775403,4
962723,4
791921,4
302969,4
513059,4
233825,4
860044,4
469593,4
859534,4
8470,4
60792,4
529767,4
60478,4
404913,4
334920,4
333142,4
958354,4
555440,4
301053,4
675206,4
814193,4
643881,4
457204,4
963331,4
42348,4
143585,4
758223,4
242198,4
805765,4
204308,4
890182,4
194751,4
156184,4
912504,4
463624,4
653123,4
769980,4
480513,4
589458,4
900751,4
811659,4
733117,4
516698,4
698487,4
953070,4
628535,4
992428,4
138172,4
650242,4
591000,4
331459,4
107546,4
134553,4
178555,4
902752,4
944867,4
100637,4
436056,4
189971,4
632064,4
735282,4
52968,4
152617,4
12823,4
661005,4
229819,4
253250,4
993994,4
662863,4
210445,4
963237,4
220904,4
396428,4
128590,4
495682,4
55946,4
738983,4
549092,4
961096,4
406976,4
864682,4
485110,4
734272,4
515090,4
898479,4
588958,4
510370,4
866701,4
849690,4
216959,4
113886,4
475763,4
544871,4
935002,4
659905,4
770827,4
88049,4
600139,4
31619,4
691363,4
265682,4
838170,4
80823,4
786080,4
549720,4
102093,4
977812,4
571278,4
158454,4
920575,4
665669,4
739076,4
1173,4
903697,4
955068,4
730705,4
737625,4
804058,4
909107,4
875074,4
895039,4
2086,4
638626,4
164988,4
846888,4
203924,4
124094,4
543430,4
656585,4
188923,4
678663,4
487069,4
166949,4
99806,4
62518,4
325235,4
330587,4
132017,4
696524,4
323539,4
756163,4
61159,4
449522,4
24024,4
192267,4
679117,4
396648,4
229731,4
32124,4
599708,4
399735,4
935946,4
116603,4
247869,4
118299,4
556555,4
674526,4
890969,4
458561,4
282108,4
711613,4
290246,4
928061,4
531840,4
628418,4
202063,4
927458,4
105356,4
621943,4
907065,4
339395,4
140019,4
644792,4
618961,4
691437,4
913654,4
756017,4
968257,4
486252,4
717925,4
80803,4
951519,4
926357,4
792061,4
862155,4
332109,4
154579,4
818809,4
925074,4
427835,4
709053,4
942248,4
129537,4
543714,4
569567,4
771777,4
231342,4
734332,4
546004,4
722485,4
41096,4
564681,4
502918,4
546945,4
810096,4
883539,4
763117,4
153153,4
719520,4
286265,4
833207,4
107762,4
896393,4
700639,4
201862,4
60392,4
210027,4
398110,4
718797,4
948263,4
553070,4
445372,4
652127,4
80075,4
109586,4
94574,4
360339,4
657588,4
55866,4
508645,4
954279,4
261339,4
857694,4
33381,4
533366,4
493240,4
82127,4
377508,4
498719,4
928692,4
268001,4
643925,4
937491,4
179114,4
927730,4
414384,4
596276,4
338170,4
144493,4
460416,4
1000152,4
1713,4
984622,4
467472,4
288329,4
844414,4
530088,4
147651,4
608628,4
809261,4
908547,4
19929,4
296289,4
109099,4
767560,4
118830,4
335016,4
681866,4
40666,4
748832,4
192454,4
983761,4
723302,4
668492,4
649981,4
302312,4
577852,4
403546,4
658557,4
596604,4
156848,4
702693,4
680245,4
587648,4
480241,4
931817,4
660222,4
764729,4
442554,4
305896,4
256835,4
966761,4
577042,4
298443,4
617625,4
439903,4
219956,4
347146,4
567124,4
927995,4
890958,4
155869,4
302092,4
229221,4
462582,4
526111,4
640010,4
710127,4
5465,4
40802,4
202782,4
367412,4
994873,4
120552,4
96505,4
480712,4
534720,4
82981,4
211057,4
482173,4
599090,4
1711,4
789735,4
979910,4
798936,4
356644,4
260879,4
909440,4
245114,4
736703,4
884167,4
121334,4
175181,4
841768,4
633988,4
879288,4
474663,4
538301,4
59174,4
727912,4
265173,4
589174,4
666336,4
816736,4
837331,4
737863,4
531744,4
895242,4
595196,4
413705,4
3727,4
597879,4
431658,4
400048,4
318562,4
137442,4
77915,4
978779,4
683629,4
391527,4
497354,4
643334,4
294471,4
83391,4
937652,4
345829,4
791767,4
337436,4
861044,4
502890,4
886813,4
287384,4
372871,4
157937,4
963203,4
920263,4
549292,4
398701,4
89801,4
233271,4
894446,4
428477,4
780342,4
475938,4
188216,4
936364,4
971848,4
159078,4
557450,4
604642,4
920106,4
603455,4
987078,4
947018,4
264934,4
394357,4
184889,4
596925,4
917961,4
75723,4
544935,4
641673,4
761177,4
558751,4
108808,4
50303,4
448490,4
825154,4
849629,4
367211,4
70126,4
496899,4
358540,4
75255,4
658148,4
143737,4
978991,4
546852,4
773778,4
718545,4
639254,4
28810,4
459445,4
516735,4
558397,4
937344,4
581495,4
432338,4
394029,4
291344,4
208092,4
486305,4
838930,4
952367,4
194681,4
838748,4
322869,4
504721,4
304124,4
970381,4
315824,4
232072,4
922276,4
259012,4
826715,4
766780,4
48709,4
504897,4
95389,4
309437,4
123428,4
497078,4
191631,4
430955,4
671350,4
373424,4
615608,4
994105,4
67516,4
314950,4
179369,4
160739,4
35585,4
920638,4
421142,4
529963,4
262554,4
515929,4
970798,4
648442,4
664862,4
622669,4
705008,4
81005,4
385218,4
796183,4
383127,4
416913,4
62820,4
208846,4
875600,4
824503,4
720658,4
437696,4
361009,4
466129,4
789826,4
28337,4
163088,4
997671,4
935872,4
593429,4
683903,4
7536,4
